"ID","scwtevcent","uwevcent","locwtevcent","revevcent"
"A647",0.108788176133128,0.48848444171029,0.541029444517386,0.518726098272962
"A812",0.0349899256077036,0.0734662214879874,0.0909948135464966,0.311247690709332
"A658",0.146495989279159,0.224471968668076,0.111450019959082,0.204152657487065
"A573",0.113156466448067,0.225454067958525,0.247325462489328,0.162109037559161
"A632",0.0122347615975127,0.0594029503449778,0.0199374597581845,0.228749394462337
"A597",0.0685317800520224,0.471408897653,0.795789292943441,0.220136520731769
"A555",0.0152815342879757,0.0761756081250217,0.0230127660392367,0.253929006471442
"A744",0.0346901260965949,0.1069631499314,0.0423418807843634,0.115919661068437
"A515",0.197485194589958,0.372114813864789,0.41634828419528,0.0867204294998022
"A721",0.163137924514965,0.390645512924125,0.363531842184631,0.0795206851488471
"A842",0.0554852060246842,0.289879497744611,0.255186641610599,0.201573104927161
"A789",0.226626990028214,0.464971088286073,0.238904554835048,0.0753386811255143
"A827",0.205283026325505,0.403711094377358,0.412615378271122,0.120154786827702
"A810",0.257207924786752,0.795031852717441,0.794303310486123,0.0585270157343565
"A849",0.293047328034331,0.579237822441759,0.655036785740753,0.147673427748249
"A671",0.228688213606098,0.506218010342526,0.538298049662755,0.175090110196284
"A758",0.240187349214069,0.757754390917276,0.664580247224891,0.197644450933383
"A670",0.413178814867023,0.657289774700295,0.756013810731935,0.142363808976748
"A788",0.0184207926772024,0.124902703652203,0.132852258167003,0.154242285197386
"A606",0.449465166410689,0.810609211588116,0.76678892498788,0.0651391282090752
"A719",0.107540492577773,0.241548244376353,0.15928632217925,0.235450277209437
"A708",0.521568604824397,0.686828675581259,0.671144119188124,0.0512367565575679
"A723",0.0425518703277176,0.189359580431111,0.130251856312689,0.271085180397709
"A603",0.954662025611665,0.873536681316496,0.709553724180426,0.043141360934047
"A641",0.0350551133627504,0.145656205167968,0.080270223179735,0.335526629444927
"A755",0.0903895264851601,0.364879622029269,0.352863072915212,0.229314219840963
"A645",0.0459296709652842,0.0951501587026654,0.0602079468464217,0.270800527757337
"A625",0.50892588735695,0.651111283448051,0.71566251244157,0.0736353874528989
"A545",0.0109598748644526,0.0662692512016203,0.0251610829115057,0.188161444880456
"A611",0.0034282563955468,0.0114800723366693,0.00393146431403726,0.435630628673528
"A608",0.00676281075914763,0.0450898437671274,0.010196155480804,0.482915571505432
"A569",0.0492810888815127,0.161984625786352,0.138134158238052,0.199941361542809
"A559",1,1,0.655742652397008,0.0106144149423216
"A544",0.0280824285918998,0.0856699441203569,0.0589427368809674,0.51742086859434
"A624",0.124909686683722,0.480298737569033,0.28563249315001,0.277425957806706
"A662",0.265260448643593,0.481125318593198,0.460316440653761,0.0535941746967356
"A833",0.0142524270016299,0.0474469119724435,0.0492684665789803,0.188874226394705
